recommendation_id,recommendation_date,customer_id,sales_organization_id,frequency_rule_id,rolling_4_week_cases,average_weekly_cases,current_weekly_frequency,recommended_weekly_frequency,weekly_frequency_change,estimated_weekly_stops_saved,estimated_annual_stops_saved,estimated_annual_miles_saved,estimated_annual_driver_hours_saved,estimated_annual_fuel_saved,estimated_annual_cost_saved,estimated_annual_co2_saved,recommendation_status,implementation_status,review_required_flag,approved_flag
REC0000170,2026-08-01,CUST000170,SO0021,FR007,49.51,12.38,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000171,2026-08-01,CUST000171,SO0014,FR013,0.0,0.0,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000172,2026-08-01,CUST000172,SO0016,FR010,0.0,0.0,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000173,2026-08-01,CUST000173,SO0026,FR007,98.72,24.68,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000174,2026-08-01,CUST000174,SO0043,FR004,120.66,30.16,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000175,2026-08-01,CUST000175,SO0030,FR010,0.0,0.0,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000176,2026-08-01,CUST000176,SO0005,FR010,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000177,2026-08-01,CUST000177,SO0030,FR007,0.0,0.0,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000178,2026-08-01,CUST000178,SO0037,FR004,52.03,13.01,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000179,2026-08-01,CUST000179,SO0005,FR013,225.86,56.46,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000180,2026-08-01,CUST000180,SO0014,FR013,69.03,17.26,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000181,2026-08-01,CUST000181,SO0017,FR001,148.63,37.16,3,2,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000182,2026-08-01,CUST000182,SO0023,FR001,24.78,6.2,1,2,1,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000183,2026-08-01,CUST000183,SO0016,FR007,0.0,0.0,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000184,2026-08-01,CUST000184,SO0019,FR007,0.0,0.0,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000185,2026-08-01,CUST000185,SO0029,FR001,136.92000000000002,34.23,3,2,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000186,2026-08-01,CUST000186,SO0046,FR007,45.11,11.28,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000187,2026-08-01,CUST000187,SO0040,FR004,73.96000000000001,18.49,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000188,2026-08-01,CUST000188,SO0001,FR004,159.59,39.9,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000189,2026-08-01,CUST000189,SO0020,FR007,102.52,25.63,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000190,2026-08-01,CUST000190,SO0009,FR004,0.0,0.0,5,1,-4,4,208,1289.6,79.04,157.27,15392,1605.73,Generated,Pending Review,True,False
REC0000191,2026-08-01,CUST000191,SO0008,FR001,0.0,0.0,1,2,1,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000192,2026-08-01,CUST000192,SO0048,FR008,206.07,51.52,3,2,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000193,2026-08-01,CUST000193,SO0010,FR010,42.7,10.68,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000194,2026-08-01,CUST000194,SO0019,FR010,0.0,0.0,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000195,2026-08-01,CUST000195,SO0014,FR007,0.0,0.0,5,1,-4,4,208,1289.6,79.04,157.27,15392,1605.73,Generated,Pending Review,True,False
REC0000196,2026-08-01,CUST000196,SO0014,FR004,82.97999999999999,20.74,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000197,2026-08-01,CUST000197,SO0033,FR007,40.72,10.18,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000198,2026-08-01,CUST000198,SO0017,FR004,261.92,65.48,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000199,2026-08-01,CUST000199,SO0006,FR007,33.2,8.3,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000200,2026-08-01,CUST000200,SO0018,FR007,0.0,0.0,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000201,2026-08-01,CUST000201,SO0001,FR004,82.97,20.74,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000202,2026-08-01,CUST000202,SO0009,FR001,71.08,17.77,5,2,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000203,2026-08-01,CUST000203,SO0011,FR010,144.65,36.16,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000204,2026-08-01,CUST000204,SO0036,FR004,0.0,0.0,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000205,2026-08-01,CUST000205,SO0036,FR007,0.0,0.0,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000206,2026-08-01,CUST000206,SO0008,FR004,67.56,16.89,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000207,2026-08-01,CUST000207,SO0045,FR007,85.34,21.34,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000208,2026-08-01,CUST000208,SO0035,FR007,189.73,47.43,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000209,2026-08-01,CUST000209,SO0024,FR008,235.93,58.98,1,2,1,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000210,2026-08-01,CUST000210,SO0036,FR007,55.27,13.82,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000211,2026-08-01,CUST000211,SO0028,FR007,174.04,43.51,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000212,2026-08-01,CUST000212,SO0003,FR004,53.05,13.26,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000213,2026-08-01,CUST000213,SO0024,FR007,0.0,0.0,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000214,2026-08-01,CUST000214,SO0023,FR008,339.69,84.92,4,2,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000215,2026-08-01,CUST000215,SO0044,FR008,406.34,101.58,1,2,1,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000216,2026-08-01,CUST000216,SO0043,FR010,0.0,0.0,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000217,2026-08-01,CUST000217,SO0023,FR001,27.23,6.81,5,2,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000218,2026-08-01,CUST000218,SO0027,FR010,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000219,2026-08-01,CUST000219,SO0048,FR007,187.71,46.93,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000220,2026-08-01,CUST000220,SO0016,FR007,0.0,0.0,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000221,2026-08-01,CUST000221,SO0012,FR004,153.51,38.38,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000222,2026-08-01,CUST000222,SO0002,FR013,0.0,0.0,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000223,2026-08-01,CUST000223,SO0048,FR010,235.99,59.0,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000224,2026-08-01,CUST000224,SO0027,FR007,11.51,2.88,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000225,2026-08-01,CUST000225,SO0018,FR007,0.0,0.0,5,1,-4,4,208,1289.6,79.04,157.27,15392,1605.73,Generated,Pending Review,True,False
REC0000226,2026-08-01,CUST000226,SO0045,FR004,0.0,0.0,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000227,2026-08-01,CUST000227,SO0025,FR010,91.74,22.94,5,1,-4,4,208,1289.6,79.04,157.27,15392,1605.73,Generated,Pending Review,True,False
REC0000228,2026-08-01,CUST000228,SO0031,FR013,207.22,51.8,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000229,2026-08-01,CUST000229,SO0013,FR007,49.96000000000001,12.49,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000230,2026-08-01,CUST000230,SO0023,FR007,0.0,0.0,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000231,2026-08-01,CUST000231,SO0015,FR010,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000232,2026-08-01,CUST000232,SO0002,FR004,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000233,2026-08-01,CUST000233,SO0026,FR004,0.0,0.0,5,1,-4,4,208,1289.6,79.04,157.27,15392,1605.73,Generated,Pending Review,True,False
REC0000234,2026-08-01,CUST000234,SO0018,FR004,87.44999999999999,21.86,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000235,2026-08-01,CUST000235,SO0018,FR007,28.21,7.05,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000236,2026-08-01,CUST000236,SO0042,FR010,0.0,0.0,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000237,2026-08-01,CUST000237,SO0026,FR004,0.0,0.0,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000238,2026-08-01,CUST000238,SO0022,FR010,132.17,33.04,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000239,2026-08-01,CUST000239,SO0008,FR007,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000240,2026-08-01,CUST000240,SO0012,FR004,21.62,5.4,5,1,-4,4,208,1289.6,79.04,157.27,15392,1605.73,Generated,Pending Review,True,False
REC0000241,2026-08-01,CUST000241,SO0017,FR004,70.33,17.58,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000242,2026-08-01,CUST000242,SO0007,FR001,174.82999999999998,43.71,1,2,1,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000243,2026-08-01,CUST000243,SO0028,FR007,54.49,13.62,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000244,2026-08-01,CUST000244,SO0047,FR004,129.47,32.37,5,1,-4,4,208,1289.6,79.04,157.27,15392,1605.73,Generated,Pending Review,True,False
REC0000245,2026-08-01,CUST000245,SO0028,FR007,43.47,10.87,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000246,2026-08-01,CUST000246,SO0033,FR001,39.85,9.96,2,2,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000247,2026-08-01,CUST000247,SO0025,FR011,300.51,75.13,4,2,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000248,2026-08-01,CUST000248,SO0013,FR008,382.81,95.7,3,2,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000249,2026-08-01,CUST000249,SO0003,FR004,284.5,71.12,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000250,2026-08-01,CUST000250,SO0001,FR004,92.23,23.06,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000251,2026-08-01,CUST000251,SO0035,FR004,0.0,0.0,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000252,2026-08-01,CUST000252,SO0024,FR007,44.53,11.13,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000253,2026-08-01,CUST000253,SO0005,FR004,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000254,2026-08-01,CUST000254,SO0040,FR007,55.52,13.88,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000255,2026-08-01,CUST000255,SO0043,FR004,118.25,29.56,5,1,-4,4,208,1289.6,79.04,157.27,15392,1605.73,Generated,Pending Review,True,False
REC0000256,2026-08-01,CUST000256,SO0047,FR007,94.95,23.74,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000257,2026-08-01,CUST000257,SO0033,FR010,158.32,39.58,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000258,2026-08-01,CUST000258,SO0043,FR007,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000259,2026-08-01,CUST000259,SO0021,FR007,58.63,14.66,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000260,2026-08-01,CUST000260,SO0045,FR004,14.83,3.71,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000261,2026-08-01,CUST000261,SO0036,FR004,45.01,11.25,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000262,2026-08-01,CUST000262,SO0013,FR004,0.0,0.0,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000263,2026-08-01,CUST000263,SO0043,FR004,82.85,20.71,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000264,2026-08-01,CUST000264,SO0044,FR008,294.63,73.66,2,2,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000265,2026-08-01,CUST000265,SO0040,FR013,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000266,2026-08-01,CUST000266,SO0020,FR007,139.91,34.98,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000267,2026-08-01,CUST000267,SO0036,FR013,277.59000000000003,69.4,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000268,2026-08-01,CUST000268,SO0020,FR007,121.38,30.34,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000269,2026-08-01,CUST000269,SO0014,FR011,257.57,64.39,5,2,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000270,2026-08-01,CUST000270,SO0038,FR007,0.0,0.0,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000271,2026-08-01,CUST000271,SO0042,FR007,0.0,0.0,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000272,2026-08-01,CUST000272,SO0030,FR004,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000273,2026-08-01,CUST000273,SO0029,FR010,0.0,0.0,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000274,2026-08-01,CUST000274,SO0033,FR004,0.0,0.0,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000275,2026-08-01,CUST000275,SO0048,FR010,78.79,19.7,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000276,2026-08-01,CUST000276,SO0043,FR004,34.69,8.67,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000277,2026-08-01,CUST000277,SO0019,FR013,194.59,48.65,5,1,-4,4,208,1289.6,79.04,157.27,15392,1605.73,Generated,Pending Review,True,False
REC0000278,2026-08-01,CUST000278,SO0043,FR011,352.82,88.2,2,2,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000279,2026-08-01,CUST000279,SO0022,FR004,0.0,0.0,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000280,2026-08-01,CUST000280,SO0016,FR008,239.04,59.76,3,2,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000281,2026-08-01,CUST000281,SO0015,FR013,199.3,49.82,5,1,-4,4,208,1289.6,79.04,157.27,15392,1605.73,Generated,Pending Review,True,False
REC0000282,2026-08-01,CUST000282,SO0010,FR007,192.49,48.12,5,1,-4,4,208,1289.6,79.04,157.27,15392,1605.73,Generated,Pending Review,True,False
REC0000283,2026-08-01,CUST000283,SO0003,FR007,0.0,0.0,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000284,2026-08-01,CUST000284,SO0031,FR010,0.0,0.0,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000285,2026-08-01,CUST000285,SO0005,FR004,41.26,10.32,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000286,2026-08-01,CUST000286,SO0027,FR010,0.0,0.0,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000287,2026-08-01,CUST000287,SO0013,FR004,36.45,9.11,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000288,2026-08-01,CUST000288,SO0032,FR001,138.37,34.59,3,2,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000289,2026-08-01,CUST000289,SO0016,FR007,0.0,0.0,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000290,2026-08-01,CUST000290,SO0042,FR010,0.0,0.0,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000291,2026-08-01,CUST000291,SO0007,FR004,53.48,13.37,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000292,2026-08-01,CUST000292,SO0015,FR010,79.3,19.82,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000293,2026-08-01,CUST000293,SO0045,FR004,127.95,31.99,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000294,2026-08-01,CUST000294,SO0030,FR004,135.74,33.94,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000295,2026-08-01,CUST000295,SO0036,FR010,62.78,15.7,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000296,2026-08-01,CUST000296,SO0008,FR007,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000297,2026-08-01,CUST000297,SO0009,FR013,76.35,19.09,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000298,2026-08-01,CUST000298,SO0043,FR008,224.66,56.16,2,2,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000299,2026-08-01,CUST000299,SO0036,FR007,0.0,0.0,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000300,2026-08-01,CUST000300,SO0021,FR001,0.0,0.0,3,2,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000301,2026-08-01,CUST000301,SO0040,FR008,208.13,52.03,4,2,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000302,2026-08-01,CUST000302,SO0028,FR004,125.72,31.43,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000303,2026-08-01,CUST000303,SO0029,FR007,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000304,2026-08-01,CUST000304,SO0048,FR004,163.35,40.84,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000305,2026-08-01,CUST000305,SO0029,FR010,245.23,61.31,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000306,2026-08-01,CUST000306,SO0016,FR001,196.52,49.13,2,2,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000307,2026-08-01,CUST000307,SO0034,FR007,0.0,0.0,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000308,2026-08-01,CUST000308,SO0041,FR008,202.49,50.62,2,2,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000309,2026-08-01,CUST000309,SO0018,FR005,303.57,75.89,2,2,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000310,2026-08-01,CUST000310,SO0005,FR004,31.83,7.96,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000311,2026-08-01,CUST000311,SO0016,FR010,54.03,13.51,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000312,2026-08-01,CUST000312,SO0022,FR007,0.0,0.0,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000313,2026-08-01,CUST000313,SO0035,FR010,55.22,13.8,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000314,2026-08-01,CUST000314,SO0009,FR007,0.0,0.0,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000315,2026-08-01,CUST000315,SO0015,FR010,200.15,50.04,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000316,2026-08-01,CUST000316,SO0045,FR008,254.53,63.63,5,2,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000317,2026-08-01,CUST000317,SO0046,FR008,210.35,52.59,1,2,1,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000318,2026-08-01,CUST000318,SO0005,FR004,0.0,0.0,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000319,2026-08-01,CUST000319,SO0027,FR007,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000320,2026-08-01,CUST000320,SO0035,FR013,196.18,49.04,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000321,2026-08-01,CUST000321,SO0027,FR007,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000322,2026-08-01,CUST000322,SO0014,FR004,218.61,54.65,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000323,2026-08-01,CUST000323,SO0025,FR004,227.3,56.82,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000324,2026-08-01,CUST000324,SO0045,FR007,59.07,14.77,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000325,2026-08-01,CUST000325,SO0037,FR010,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000326,2026-08-01,CUST000326,SO0031,FR013,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000327,2026-08-01,CUST000327,SO0023,FR001,181.24,45.31,1,2,1,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000328,2026-08-01,CUST000328,SO0025,FR001,0.0,0.0,4,2,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000329,2026-08-01,CUST000329,SO0035,FR008,291.83,72.96,1,2,1,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000330,2026-08-01,CUST000330,SO0039,FR011,273.59000000000003,68.4,2,2,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000331,2026-08-01,CUST000331,SO0032,FR004,225.94,56.48,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000332,2026-08-01,CUST000332,SO0018,FR013,131.71,32.93,5,1,-4,4,208,1289.6,79.04,157.27,15392,1605.73,Generated,Pending Review,True,False
REC0000333,2026-08-01,CUST000333,SO0032,FR007,112.59,28.15,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000334,2026-08-01,CUST000334,SO0025,FR007,119.04,29.76,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000335,2026-08-01,CUST000335,SO0043,FR007,0.0,0.0,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000336,2026-08-01,CUST000336,SO0047,FR010,191.85,47.96,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000337,2026-08-01,CUST000337,SO0030,FR010,0.0,0.0,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000338,2026-08-01,CUST000338,SO0040,FR008,257.99,64.5,2,2,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000339,2026-08-01,CUST000339,SO0002,FR007,43.05,10.76,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000340,2026-08-01,CUST000340,SO0038,FR004,209.76,52.44,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000341,2026-08-01,CUST000341,SO0043,FR004,129.02,32.26,5,1,-4,4,208,1289.6,79.04,157.27,15392,1605.73,Generated,Pending Review,True,False
